,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,snyder,40,US,1553285402,56,32.72,-100.92,69.01,21.92
156,duzce,12,TR,1553285586,82,40.84,31.16,31.72,1.72
157,clyde river,90,CA,1553281200,69,70.47,-68.59,-13.01,8.05
158,sieghartskirchen,5,AT,1553285660,66,48.26,16.01,52,2.24
159,najran,0,SA,1553281200,24,17.54,44.22,80.6,4.7
160,hambantota,0,LK,1553285674,100,6.12,81.12,80.86,5.64
161,sitka,56,US,1553284847,74,37.17,-99.65,54,3
162,caravelas,92,BR,1553285675,100,-17.73,-39.27,80.86,18.28
163,morondava,20,MG,1553285675,89,-20.3,44.28,80.86,4.63
164,tasiilaq,20,GL,1553284200,66,65.61,-37.64,14,13.87
165,kalmar,90,SE,1553284804,100,56.66,16.36,39.99,10.29
166,florianopolis,75,BR,1553284920,88,-27.6,-48.55,73,4.7
167,petropavlovsk-kamchatskiy,40,RU,1553283000,73,53.05,158.65,21.2,8.95
168,cherskiy,0,RU,1553285676,23,68.75,161.3,-15.72,3.18
169,bud,75,NO,1553284855,81,62.91,6.91,46.4,17.22
170,ormara,44,PK,1553285676,93,25.21,64.64,71.59,7.09
171,provideniya,88,RU,1553285676,100,64.42,-173.23,13.9,19.06
172,hofn,64,IS,1553285676,98,64.25,-15.21,38.74,35.28
173,estevan,1,CA,1553285644,65,49.14,-102.99,48.99,13.87
174,madimba,20,CM,1553281200,100,4.42,9.93,77,3.36
175,meulaboh,12,ID,1553285677,100,4.14,96.13,79.6,4.07
176,constitucion,20,MX,1553285416,15,23.99,-104.67,73,12.75
177,zivinice,0,BA,1553284800,56,44.45,18.65,44.6,1.12
178,batticaloa,0,LK,1553285476,100,7.71,81.69,78.97,2.51
179,narsaq,90,GL,1553284200,79,60.91,-46.05,21.2,3.36
180,hit,68,IQ,1553285738,48,33.64,42.83,53.68,4.74
181,port hedland,75,AU,1553283000,88,-20.31,118.58,82.4,17.22
182,itarema,88,BR,1553285502,94,-2.92,-39.92,76.9,4.07
183,yeppoon,56,AU,1553283000,88,-23.13,150.74,75.2,8.05
184,chuy,64,UY,1553285739,84,-33.69,-53.46,67.72,5.75
185,hobyo,92,SO,1553285739,85,5.35,48.53,79.51,13.02
186,lata,0,IN,1553285739,66,30.78,78.62,33.16,2.39
187,rize,75,TR,1553284200,81,41.02,40.52,46.4,4.7
188,tazovskiy,76,RU,1553285740,91,67.47,78.7,21.1,7.09
189,victoria,75,BN,1553283000,94,5.28,115.24,77,1.16
190,ilirska bistrica,0,SI,1553285716,65,45.57,14.24,55.99,5.82
191,bara,0,NG,1553285741,50,10.41,10.6,80.95,3.29
192,miramar,0,CR,1553284800,44,10.09,-84.73,82.4,19.46
193,torbay,75,CA,1553285093,86,47.66,-52.73,33.01,21.92
194,bambanglipuro,32,ID,1553285745,98,-7.95,110.28,70.15,2.95
195,surt,0,LY,1553285464,96,31.21,16.59,58.45,7.99
196,prince george,1,CA,1553285418,56,53.92,-122.75,51.01,2.24
197,burgas,0,BG,1553284854,65,42.49,27.45,46.99,10.29
198,cidreira,92,BR,1553285748,100,-30.17,-50.22,62.32,9.33
199,kholm-zhirkovskiy,88,RU,1553285748,81,55.52,33.47,32.62,16.26
200,havelock,1,US,1553285626,41,34.88,-76.9,66,17.22
201,kholodnyy,64,RU,1553285748,60,62.72,147.95,-9.51,2.73
202,esperance,40,TT,1553285744,52,10.24,-61.45,89.6,13.87
203,san rafael del sur,0,NI,1553281200,28,11.85,-86.44,93.2,16.11
204,carnarvon,24,ZA,1553285749,36,-30.97,22.13,58.45,9.22
205,oktyabrskiy,75,RU,1553285128,80,55.61,37.97,35.01,17.9
206,acapulco,5,MX,1553280360,66,16.86,-99.88,86,11.41
207,half moon bay,75,US,1553285742,82,37.46,-122.43,60.01,12.75
208,bela vista de goias,20,BR,1553281200,55,-16.97,-48.95,86,9.17
209,saint-philippe,90,CA,1553285717,96,45.36,-73.48,39,10.29
210,tura,20,IN,1553285750,92,25.52,90.21,62.23,5.19
211,namibe,20,AO,1553285750,100,-15.19,12.15,78.25,1.39
212,ketchikan,90,US,1553284380,81,55.34,-131.65,48.2,4.7
213,champerico,40,MX,1553283960,42,16.38,-93.6,86,17.22
214,katrineholm,0,SE,1553285744,65,59,16.21,45,11.41
215,huangnihe,20,CN,1553285751,79,43.56,128.02,16.96,3.4
216,quelimane,40,MZ,1553281200,83,-17.88,36.89,80.6,8.05
217,emerald,0,AU,1553285595,94,-23.53,148.16,71.6,4.7
218,moindou,0,NC,1553283000,88,-21.69,165.68,71.6,3.62
219,upernavik,32,GL,1553285752,100,72.79,-56.15,-9.96,6.2
220,ponta delgada,40,PT,1553285694,82,37.73,-25.67,59,5.82
221,pozzallo,0,IT,1553285718,20,44.81,9.34,62.6,3.36
222,comodoro rivadavia,75,AR,1553281200,48,-45.87,-67.48,66.2,10.29
223,tiksi,56,RU,1553285752,57,71.64,128.87,1.93,4.97
224,kaitangata,56,NZ,1553285752,88,-46.28,169.85,59.44,4.41
225,parakou,32,BJ,1553285753,68,9.34,2.63,78.07,3.96
226,ushtobe,0,KZ,1553285753,79,45.25,77.98,31.54,2.39
227,hilo,75,US,1553285551,64,19.71,-155.08,77,4.7
228,cayenne,75,GF,1553283000,66,4.94,-52.33,86,12.75
229,sao joao da barra,90,BR,1553281200,88,-21.64,-41.05,75.2,6.93
230,thompson,40,CA,1553281200,41,55.74,-97.86,42.8,16.11
231,mount pleasant,1,US,1553285615,26,33.16,-94.97,77,4.18
232,zabol,75,IR,1553281200,45,31.03,61.49,66.2,21.92
233,grindavik,75,IS,1553285801,100,63.84,-22.43,34,40.26
234,durres,75,AL,1553284200,62,41.32,19.44,53.6,4.7
235,mehamn,20,NO,1553280600,74,71.03,27.85,30.2,24.16
236,kovylkino,64,RU,1553285817,90,54.04,43.91,30.55,9.22
237,calabozo,0,VE,1553285817,30,8.92,-67.43,98.05,10
238,norman wells,90,CA,1553281200,79,65.28,-126.83,21.2,6.93
239,tyumentsevo,8,RU,1553285817,61,53.32,81.5,9.67,3.4
240,qaqortoq,90,GL,1553284200,79,60.72,-46.03,21.2,3.36
241,neepawa,5,CA,1553284800,64,50.23,-99.46,37.4,5.82
242,whitley bay,20,GB,1553285805,87,55.04,-1.44,51.01,13.87
243,iquitos,75,PE,1553283480,83,-3.75,-73.25,78.8,17.22
244,omsukchan,32,RU,1553285818,80,62.53,155.8,4.27,5.19
245,yashan,80,CN,1553285818,89,30.81,118.02,40.63,3.18
246,mugango,48,TZ,1553285819,98,-1.69,33.7,72.13,2.95
247,ixtapa,5,MX,1553285742,51,20.71,-105.21,82.4,12.75
248,paita,0,PE,1553281200,290,-5.09,-81.11,62.6,10.11
249,manaus,12,BR,1553285819,85,-3.13,-59.98,85.45,2.62
250,awjilah,0,LY,1553285819,58,29.14,21.3,68.71,10.67
251,kavieng,56,PG,1553285820,100,-2.57,150.8,82.39,8.99
252,resistencia,0,AR,1553281200,41,-27.45,-58.99,80.6,6.93
253,san rafael,0,AR,1553285821,23,-34.61,-68.33,76,6.2
254,grootfontein,12,NA,1553285824,41,-19.56,18.1,74.29,4.63
255,chinameca,0,SV,1553280600,43,13.51,-88.35,96.8,11.41
256,gorontalo,0,ID,1553285824,95,0.54,123.06,72.13,1.95
257,saldanha,0,PT,1553285825,63,41.42,-6.55,42.25,4.41
258,barreirinhas,80,BR,1553285825,87,-2.75,-42.83,78.79,5.19
259,poum,0,MK,1553284800,42,41.28,20.71,46.4,1.12
260,templemore,0,IE,1553285727,84,52.79,-7.83,44.01,9.1
261,dakar,20,SN,1553283000,73,14.69,-17.45,69.8,13.87
262,baykit,0,RU,1553285825,84,61.68,96.39,19.57,9.89
263,weligama,0,LK,1553285777,99,5.97,80.42,77.62,4.29
264,aasiaat,12,GL,1553285826,100,68.71,-52.87,-6.18,8.99
265,lamu,8,ID,1553285826,100,0.57,122.3,71.86,2.95
266,yar-sale,64,RU,1553285826,79,66.83,70.83,15.61,4.97
267,bukama,24,CD,1553285829,87,-9.2,25.85,75.1,4.18
268,tamazunchale,44,MX,1553285829,72,21.26,-98.79,67.18,2.17
269,egvekinot,0,RU,1553285829,65,66.32,-179.17,-1.32,11.01
270,almazar,20,UZ,1553283000,81,40.32,69.01,53.6,11.18
271,imbituba,75,BR,1553281200,88,-28.24,-48.67,68,4.7
272,rocky mountain house,0,CA,1553285676,34,52.38,-114.92,58.9,3.4
273,khilok,0,RU,1553285890,69,51.36,110.46,7.15,4.97
274,klaksvik,24,FO,1553284200,56,62.23,-6.59,41,32.21
275,quatre cocos,40,MU,1553285640,83,-20.21,57.76,82.4,6.93
276,saint-esteve,0,FR,1553285834,77,42.71,2.84,55.99,2.24
277,xai-xai,64,MZ,1553285894,99,-25.04,33.64,77.17,10.11
278,hakodate,36,JP,1553285894,100,41.8,140.75,29.47,8.43
279,kuji,24,JP,1553285895,61,40.18,141.75,28.75,7.43
280,sorland,75,NO,1553282400,87,67.67,12.69,42.8,35.57
281,cape town,0,ZA,1553285573,77,-33.93,18.42,68,13.87
282,ludvika,68,SE,1553285741,60,60.15,15.18,43,8.05
283,sibolga,80,ID,1553285898,100,1.74,98.78,69.7,1.05
284,arman,80,RU,1553285898,84,59.7,150.17,19.57,7.43
285,lagoa,0,PT,1553285830,72,37.14,-8.45,61,6.93
286,roald,75,NO,1553285788,87,62.58,6.12,46.4,23.04
287,zelenoborsk,64,RU,1553285901,87,61.47,64.05,26.05,2.95
288,henties bay,0,NA,1553284927,88,-22.12,14.28,61,1.99
289,caruray,0,PH,1553285901,100,10.31,119.01,78.34,6.87
290,marzuq,0,YE,1553285902,57,14.4,46.47,51.79,2.95
291,country club,75,BR,1553285694,64,-23.02,-47.01,75.99,11.41
292,nkhata bay,56,MW,1553285902,100,-11.61,34.3,71.68,5.75
293,klyuchi,0,RU,1553285902,64,52.25,79.17,17.05,4.18
294,sao gabriel da cachoeira,40,BR,1553281200,66,-0.13,-67.09,87.8,4.7
295,sabya,0,YE,1553285903,94,16.19,43.1,66.82,1.95
296,chase,1,US,1553285826,59,43.89,-85.64,37,18.34
297,ploemeur,12,FR,1553285777,93,47.73,-3.43,50,3.36
298,macherla,0,IN,1553285903,88,16.48,79.44,70.15,3.18
299,karpathos,20,GR,1553282400,63,35.51,27.21,60.8,20.8
300,trincomalee,0,LK,1553285903,92,8.58,81.23,75.37,2.95
301,luderitz,0,NA,1553285898,88,-26.65,15.16,59.8,8.21
302,houma,48,CN,1553285904,60,35.63,111.36,29.29,3.74
303,nenjiang,0,CN,1553285904,51,49.17,125.23,4.27,5.64
304,saint-augustin,0,FR,1553285890,50,44.83,-0.61,57.2,5.82
305,alyangula,40,AU,1553281200,83,-13.85,136.42,80.6,12.75
306,balkanabat,8,TM,1553285904,82,39.51,54.36,32.17,2.17
307,rio verde de mato grosso,32,BR,1553285905,53,-18.92,-54.84,84.73,5.86
308,tual,24,ID,1553285905,95,-5.67,132.75,84.82,13.8
309,nyrob,68,RU,1553285905,72,60.74,56.73,18.94,2.95
310,hami,0,CN,1553285905,62,42.84,93.51,28.84,4.29
311,komsomolskiy,76,RU,1553285905,87,67.55,63.78,19.66,4.18
312,port hawkesbury,90,CA,1553285815,93,45.62,-61.36,41,28.86
313,harper,90,US,1553285897,49,30.3,-99.24,73.99,11.41
314,kieta,12,PG,1553285906,100,-6.22,155.63,79.87,1.95
315,erzin,0,TR,1553284200,81,36.95,36.2,61,6.93
316,longyearbyen,40,NO,1553284200,58,78.22,15.63,24.8,1.61
317,yazman,36,SY,1553285966,72,36.74,38.46,51.97,6.31
318,namtsy,0,RU,1553283000,82,62.72,129.66,-16.61,4.47
319,turayf,0,SA,1553281200,67,31.68,38.65,57.2,21.92
320,cururupu,92,BR,1553285967,84,-1.82,-44.87,79.87,5.41
321,kappeln,20,DE,1553285950,100,54.66,9.93,50,10.29
322,aizpute,0,LV,1553284200,100,56.72,21.61,28.4,5.86
323,miragoane,80,HT,1553285717,70,18.44,-73.09,82,5.64
324,lakes entrance,24,AU,1553285895,95,-37.88,147.99,64,6.42
325,geraldton,20,CA,1553284800,36,49.72,-86.95,28.4,8.05
326,sovetskiy,8,RU,1553285968,74,56.76,48.47,16.69,2.95
327,moss point,1,US,1553285850,37,30.41,-88.53,73.99,3.36
328,guadalupe,75,MX,1553283600,60,25.68,-100.26,73.4,13.87
329,dingle,32,PH,1553285971,91,11,122.67,74.56,9.66
330,pocatello,90,US,1553285823,81,42.87,-112.44,42.8,12.75
331,necochea,32,AR,1553285789,40,-38.55,-58.74,72,3
332,tuatapere,64,NZ,1553285405,84,-46.13,167.69,60.01,3.06
333,morehead,75,US,1553285839,43,38.18,-83.43,53.6,11.41
334,ukmerge,0,LT,1553285853,47,55.25,24.75,37.4,2.24
335,laguna de perlas,20,NI,1553281200,66,12.34,-83.67,86,9.17
336,paramonga,56,PE,1553285972,92,-10.68,-77.82,70.51,7.87
337,zhurivka,0,UA,1553283000,33,50.5,31.77,42.8,17.9
338,les cayes,0,HT,1553285972,97,18.19,-73.75,80.32,8.66
339,chimbote,32,PE,1553285973,78,-9.08,-78.59,74.56,6.31
340,faanui,88,PF,1553285842,100,-16.48,-151.75,83.83,7.99
341,bandar-e lengeh,36,IR,1553285973,93,26.56,54.88,72.49,12.46
342,beloha,92,MG,1553285973,92,-25.17,45.06,72.76,10.67
343,beringovskiy,32,RU,1553285954,77,63.05,179.32,-0.6,26.11
344,port dover,75,CA,1553285703,55,42.79,-80.2,37.99,26.4
345,kaseda,68,JP,1553285591,70,31.42,130.32,48,8.01
346,novopokrovka,36,RU,1553285974,70,45.85,134.51,6.43,2.39
347,kasulu,44,TZ,1553285974,91,-4.57,30.11,66.46,2.95
348,pangkalanbuun,36,ID,1553285974,93,-2.68,111.62,72.31,2.62
349,manado,20,ID,1553283000,94,1.49,124.85,73.4,1.12
350,saurimo,36,AO,1553285974,75,-9.66,20.4,71.95,1.95
351,andra,64,RU,1553285974,80,62.52,65.89,19.39,3.62
352,armidale,36,AU,1553285716,82,-30.51,151.67,52,2.73
353,saint-joseph,0,FR,1553285885,50,43.56,6.97,60.01,3.36
354,miles city,1,US,1553285970,61,46.41,-105.84,54,18.34
355,sorong,92,ID,1553285900,100,-0.86,131.25,80.95,5.64
356,fortuna,0,ES,1553285718,39,38.18,-1.13,62.6,4.7
357,aswan,0,EG,1553281200,14,24.09,32.9,84.2,8.05
358,san cristobal,90,EC,1553285797,81,-0.39,-78.55,68,5.82
359,amapa,40,HN,1553284800,43,15.09,-87.97,87.8,23.04
360,alice springs,0,AU,1553283000,39,-23.7,133.88,69.8,3.36
361,santa vitoria do palmar,64,BR,1553286036,84,-33.52,-53.37,67.72,5.75
362,yulara,0,AU,1553281200,25,-25.24,130.99,75.2,2.24
363,tezu,92,IN,1553286037,100,27.93,96.16,50.89,1.5
364,anloga,20,GH,1553281200,83,5.79,0.9,82.4,1.12
365,port blair,20,IN,1553281200,88,11.67,92.75,77,2.24
366,olinda,75,EC,1553285992,66,-2.03,-79.75,88,4.7
367,sabha,0,LY,1553286037,35,27.03,14.43,59.89,13.02
368,bonavista,24,CA,1553285753,85,48.65,-53.11,32,4
369,cairns,75,AU,1553285717,83,-16.92,145.77,78.8,9.17
370,itupiranga,90,BR,1553281200,100,-5.13,-49.33,77,4.7
371,gimli,0,CA,1553286005,59,50.63,-96.99,41,5.01
372,taksimo,36,RU,1553286038,80,56.36,114.84,3.46,1.95
373,ishigaki,92,JP,1553286038,100,24.34,124.16,69.79,22.75
374,algemesi,0,ES,1553286034,58,39.18,-0.43,59,2.73
375,labuhan,76,ID,1553286039,97,-2.54,115.51,71.86,1.16
376,stropkov,0,SK,1553285889,71,49.2,21.65,50,14.99
377,maraba,90,BR,1553281200,100,-5.35,-49.1,77,4.7
378,thinadhoo,48,MV,1553286039,99,0.53,72.93,85.45,6.98
379,chihuahua,75,MX,1553285739,12,28.66,-106.08,78.8,11.41
380,guanare,76,VE,1553286014,45,9.04,-69.74,92.02,2.28
381,pevek,0,RU,1553286040,45,69.7,170.27,-15.18,5.64
382,flinders,40,AU,1553286006,100,-34.58,150.85,64.99,5.82
383,concordia,0,AR,1553285813,38,-31.4,-58.02,75.99,6.93
384,bilibino,48,RU,1553286041,60,68.06,166.44,-8.16,2.39
385,chicomuselo,76,MX,1553286041,34,15.77,-92.27,81.4,1.72
386,neryungri,12,RU,1553286041,40,56.66,124.71,-15.36,2.73
387,buarcos,0,PT,1553285793,47,40.16,-8.88,59,10.29
388,kloulklubed,75,PW,1553280600,88,7.04,134.26,75.2,4.7
389,purpe,64,RU,1553285870,88,64.48,76.69,14,5.19
